,Summary
684,Partly Cloudy
685,Partly Cloudy
686,Partly Cloudy
687,Partly Cloudy
688,Partly Cloudy
689,Partly Cloudy
690,Clear
691,Clear
692,Clear
693,Clear
694,Clear
695,Clear
696,Clear
697,Clear
698,Partly Cloudy
699,Clear
700,Clear
701,Clear
702,Clear
703,Clear
704,Clear
705,Partly Cloudy
706,Clear
707,Clear
708,Partly Cloudy
709,Partly Cloudy
710,Partly Cloudy
711,Mostly Cloudy
712,Mostly Cloudy
713,Overcast
714,Mostly Cloudy
715,Partly Cloudy
716,Partly Cloudy
717,Partly Cloudy
718,Partly Cloudy
719,Partly Cloudy
720,Partly Cloudy
721,Clear
722,Mostly Cloudy
723,Partly Cloudy
724,Partly Cloudy
725,Partly Cloudy
726,Partly Cloudy
727,Partly Cloudy
728,Partly Cloudy
729,Partly Cloudy
730,Mostly Cloudy
731,Mostly Cloudy
732,Mostly Cloudy
733,Mostly Cloudy
734,Mostly Cloudy
735,Mostly Cloudy
736,Partly Cloudy
737,Mostly Cloudy
738,Mostly Cloudy
739,Mostly Cloudy
740,Mostly Cloudy
741,Mostly Cloudy
742,Partly Cloudy
743,Mostly Cloudy
744,Partly Cloudy
745,Partly Cloudy
746,Mostly Cloudy
747,Partly Cloudy
748,Partly Cloudy
749,Partly Cloudy
750,Clear
751,Partly Cloudy
752,Mostly Cloudy
753,Foggy
754,Partly Cloudy
755,Partly Cloudy
756,Mostly Cloudy
757,Partly Cloudy
758,Mostly Cloudy
759,Mostly Cloudy
760,Mostly Cloudy
761,Mostly Cloudy
762,Mostly Cloudy
763,Mostly Cloudy
764,Mostly Cloudy
765,Mostly Cloudy
766,Overcast
767,Overcast
768,Overcast
769,Overcast
770,Mostly Cloudy
771,Overcast
772,Overcast
773,Overcast
774,Mostly Cloudy
775,Partly Cloudy
776,Mostly Cloudy
777,Mostly Cloudy
778,Mostly Cloudy
779,Partly Cloudy
780,Partly Cloudy
781,Partly Cloudy
782,Partly Cloudy
783,Partly Cloudy
784,Partly Cloudy
785,Partly Cloudy
786,Partly Cloudy
787,Partly Cloudy
788,Partly Cloudy
789,Partly Cloudy
790,Mostly Cloudy
791,Mostly Cloudy
792,Mostly Cloudy
793,Mostly Cloudy
794,Mostly Cloudy
795,Mostly Cloudy
796,Mostly Cloudy
797,Mostly Cloudy
798,Mostly Cloudy
799,Mostly Cloudy
800,Mostly Cloudy
801,Overcast
802,Overcast
803,Clear
804,Clear
805,Mostly Cloudy
806,Mostly Cloudy
807,Mostly Cloudy
808,Mostly Cloudy
809,Mostly Cloudy
810,Partly Cloudy
811,Mostly Cloudy
812,Partly Cloudy
813,Mostly Cloudy
814,Partly Cloudy
815,Mostly Cloudy
816,Mostly Cloudy
817,Mostly Cloudy
818,Overcast
819,Mostly Cloudy
820,Partly Cloudy
821,Mostly Cloudy
822,Partly Cloudy
823,Mostly Cloudy
824,Mostly Cloudy
825,Mostly Cloudy
826,Mostly Cloudy
827,Partly Cloudy
828,Partly Cloudy
829,Partly Cloudy
830,Overcast
831,Mostly Cloudy
832,Partly Cloudy
833,Mostly Cloudy
834,Overcast
835,Overcast
836,Overcast
837,Overcast
838,Overcast
839,Overcast
840,Overcast
841,Overcast
842,Overcast
843,Overcast
844,Overcast
845,Overcast
846,Clear
847,Partly Cloudy
848,Mostly Cloudy
849,Mostly Cloudy
850,Overcast
851,Mostly Cloudy
852,Mostly Cloudy
853,Mostly Cloudy
854,Partly Cloudy
855,Partly Cloudy
856,Partly Cloudy
857,Partly Cloudy
858,Partly Cloudy
859,Partly Cloudy
860,Mostly Cloudy
861,Partly Cloudy
862,Mostly Cloudy
863,Mostly Cloudy
864,Mostly Cloudy
865,Overcast
866,Partly Cloudy
867,Mostly Cloudy
868,Mostly Cloudy
869,Mostly Cloudy
870,Mostly Cloudy
871,Partly Cloudy
872,Partly Cloudy
873,Partly Cloudy
874,Partly Cloudy
875,Partly Cloudy
876,Partly Cloudy
877,Partly Cloudy
878,Partly Cloudy
879,Partly Cloudy
880,Partly Cloudy
881,Partly Cloudy
882,Partly Cloudy
883,Partly Cloudy
884,Partly Cloudy
885,Partly Cloudy
886,Clear
887,Clear
888,Partly Cloudy
889,Partly Cloudy
890,Partly Cloudy
891,Partly Cloudy
892,Partly Cloudy
893,Mostly Cloudy
894,Mostly Cloudy
895,Partly Cloudy
896,Partly Cloudy
897,Partly Cloudy
898,Partly Cloudy
899,Partly Cloudy
900,Partly Cloudy
901,Partly Cloudy
902,Partly Cloudy
903,Partly Cloudy
904,Partly Cloudy
905,Partly Cloudy
906,Mostly Cloudy
907,Mostly Cloudy
908,Mostly Cloudy
909,Mostly Cloudy
910,Partly Cloudy
911,Partly Cloudy
912,Partly Cloudy
913,Partly Cloudy
914,Clear
915,Partly Cloudy
916,Partly Cloudy
917,Partly Cloudy
918,Clear
919,Partly Cloudy
920,Partly Cloudy
921,Partly Cloudy
922,Partly Cloudy
923,Clear
924,Clear
925,Partly Cloudy
926,Clear
927,Clear
928,Clear
929,Partly Cloudy
930,Clear
931,Clear
932,Partly Cloudy
933,Partly Cloudy
934,Partly Cloudy
935,Clear
936,Clear
937,Clear
938,Partly Cloudy
939,Partly Cloudy
940,Partly Cloudy
941,Partly Cloudy
942,Clear
943,Mostly Cloudy
944,Partly Cloudy
945,Clear
946,Mostly Cloudy
947,Mostly Cloudy
948,Mostly Cloudy
949,Mostly Cloudy
950,Mostly Cloudy
951,Mostly Cloudy
952,Mostly Cloudy
953,Mostly Cloudy
954,Mostly Cloudy
955,Mostly Cloudy
956,Partly Cloudy
957,Partly Cloudy
958,Partly Cloudy
959,Partly Cloudy
960,Partly Cloudy
961,Partly Cloudy
962,Clear
963,Clear
964,Clear
965,Clear
966,Clear
967,Clear
968,Clear
969,Clear
970,Clear
971,Clear
972,Clear
973,Partly Cloudy
974,Partly Cloudy
975,Partly Cloudy
976,Partly Cloudy
977,Partly Cloudy
978,Partly Cloudy
979,Partly Cloudy
980,Partly Cloudy
981,Partly Cloudy
982,Partly Cloudy
983,Clear
984,Mostly Cloudy
985,Mostly Cloudy
986,Partly Cloudy
987,Mostly Cloudy
988,Overcast
989,Mostly Cloudy
990,Partly Cloudy
991,Mostly Cloudy
992,Overcast
993,Overcast
994,Mostly Cloudy
995,Mostly Cloudy
996,Mostly Cloudy
997,Partly Cloudy
998,Partly Cloudy
999,Mostly Cloudy
1000,Mostly Cloudy
1001,Mostly Cloudy
1002,Mostly Cloudy
1003,Mostly Cloudy
1004,Mostly Cloudy
1005,Mostly Cloudy
1006,Mostly Cloudy
1007,Mostly Cloudy
1008,Partly Cloudy
1009,Clear
1010,Clear
1011,Clear
1012,Clear
1013,Clear
1014,Clear
1015,Clear
1016,Clear
1017,Clear
1018,Clear
1019,Clear
1020,Clear
1021,Partly Cloudy
1022,Partly Cloudy
1023,Mostly Cloudy
1024,Mostly Cloudy
1025,Partly Cloudy
1026,Mostly Cloudy
1027,Mostly Cloudy
1028,Mostly Cloudy
1029,Partly Cloudy
1030,Mostly Cloudy
1031,Partly Cloudy
1032,Breezy and Partly Cloudy
1033,Clear
1034,Clear
1035,Partly Cloudy
1036,Partly Cloudy
1037,Mostly Cloudy
1038,Mostly Cloudy
1039,Mostly Cloudy
1040,Mostly Cloudy
1041,Mostly Cloudy
1042,Mostly Cloudy
1043,Mostly Cloudy
1044,Mostly Cloudy
1045,Mostly Cloudy
1046,Mostly Cloudy
1047,Mostly Cloudy
1048,Mostly Cloudy
1049,Overcast
1050,Mostly Cloudy
1051,Mostly Cloudy
1052,Mostly Cloudy
1053,Mostly Cloudy
1054,Partly Cloudy
1055,Partly Cloudy
1056,Clear
1057,Clear
1058,Clear
1059,Clear
1060,Clear
1061,Clear
1062,Partly Cloudy
1063,Partly Cloudy
1064,Partly Cloudy
1065,Partly Cloudy
1066,Partly Cloudy
1067,Partly Cloudy
1068,Partly Cloudy
1069,Partly Cloudy
1070,Partly Cloudy
1071,Partly Cloudy
1072,Partly Cloudy
1073,Partly Cloudy
1074,Partly Cloudy
1075,Partly Cloudy
1076,Partly Cloudy
1077,Partly Cloudy
1078,Mostly Cloudy
1079,Partly Cloudy
1080,Partly Cloudy
1081,Clear
1082,Clear
1083,Clear
1084,Clear
1085,Partly Cloudy
1086,Partly Cloudy
1087,Partly Cloudy
1088,Partly Cloudy
1089,Partly Cloudy
1090,Partly Cloudy
1091,Partly Cloudy
1092,Mostly Cloudy
1093,Mostly Cloudy
1094,Partly Cloudy
1095,Partly Cloudy
1096,Partly Cloudy
1097,Partly Cloudy
1098,Partly Cloudy
1099,Partly Cloudy
1100,Partly Cloudy
1101,Partly Cloudy
1102,Partly Cloudy
1103,Partly Cloudy
1104,Partly Cloudy
1105,Partly Cloudy
1106,Partly Cloudy
1107,Clear
1108,Clear
1109,Clear
1110,Clear
1111,Partly Cloudy
1112,Partly Cloudy
1113,Partly Cloudy
1114,Clear
1115,Partly Cloudy
1116,Partly Cloudy
1117,Partly Cloudy
1118,Partly Cloudy
1119,Mostly Cloudy
1120,Mostly Cloudy
1121,Mostly Cloudy
1122,Partly Cloudy
1123,Partly Cloudy
1124,Partly Cloudy
1125,Partly Cloudy
1126,Partly Cloudy
1127,Partly Cloudy
1128,Partly Cloudy
1129,Partly Cloudy
1130,Partly Cloudy
1131,Mostly Cloudy
1132,Partly Cloudy
1133,Mostly Cloudy
1134,Mostly Cloudy
1135,Mostly Cloudy
1136,Mostly Cloudy
1137,Mostly Cloudy
1138,Mostly Cloudy
1139,Partly Cloudy
1140,Partly Cloudy
1141,Overcast
1142,Overcast
1143,Partly Cloudy
1144,Partly Cloudy
1145,Partly Cloudy
1146,Partly Cloudy
1147,Mostly Cloudy
1148,Partly Cloudy
1149,Mostly Cloudy
1150,Clear
1151,Mostly Cloudy
1152,Mostly Cloudy
1153,Mostly Cloudy
1154,Partly Cloudy
1155,Partly Cloudy
1156,Mostly Cloudy
1157,Mostly Cloudy
1158,Overcast
1159,Mostly Cloudy
1160,Mostly Cloudy
1161,Clear
1162,Partly Cloudy
1163,Partly Cloudy
1164,Partly Cloudy
1165,Partly Cloudy
1166,Partly Cloudy
1167,Mostly Cloudy
1168,Mostly Cloudy
1169,Mostly Cloudy
1170,Clear
1171,Clear
1172,Mostly Cloudy
1173,Partly Cloudy
1174,Partly Cloudy
1175,Partly Cloudy
1176,Partly Cloudy
1177,Partly Cloudy
1178,Mostly Cloudy
1179,Partly Cloudy
1180,Clear
1181,Partly Cloudy
1182,Mostly Cloudy
1183,Clear
1184,Partly Cloudy
1185,Partly Cloudy
1186,Partly Cloudy
1187,Partly Cloudy
1188,Partly Cloudy
1189,Mostly Cloudy
1190,Mostly Cloudy
1191,Mostly Cloudy
1192,Clear
1193,Mostly Cloudy
1194,Clear
1195,Clear
1196,Partly Cloudy
1197,Partly Cloudy
1198,Partly Cloudy
1199,Partly Cloudy
1200,Mostly Cloudy
1201,Mostly Cloudy
1202,Mostly Cloudy
1203,Overcast
1204,Overcast
1205,Overcast
1206,Mostly Cloudy
1207,Overcast
1208,Overcast
1209,Overcast
1210,Overcast
1211,Mostly Cloudy
1212,Mostly Cloudy
1213,Mostly Cloudy
1214,Mostly Cloudy
1215,Partly Cloudy
1216,Partly Cloudy
1217,Partly Cloudy
1218,Mostly Cloudy
1219,Mostly Cloudy
1220,Mostly Cloudy
1221,Mostly Cloudy
1222,Clear
1223,Clear
1224,Clear
1225,Partly Cloudy
1226,Mostly Cloudy
1227,Clear
1228,Mostly Cloudy
1229,Mostly Cloudy
1230,Mostly Cloudy
1231,Overcast
1232,Overcast
1233,Overcast
1234,Overcast
1235,Mostly Cloudy
1236,Mostly Cloudy
1237,Partly Cloudy
1238,Partly Cloudy
1239,Partly Cloudy
1240,Partly Cloudy
1241,Partly Cloudy
1242,Partly Cloudy
1243,Partly Cloudy
1244,Partly Cloudy
1245,Partly Cloudy
1246,Overcast
1247,Overcast
1248,Partly Cloudy
1249,Mostly Cloudy
1250,Mostly Cloudy
1251,Mostly Cloudy
1252,Mostly Cloudy
1253,Mostly Cloudy
1254,Mostly Cloudy
1255,Mostly Cloudy
1256,Mostly Cloudy
1257,Overcast
1258,Overcast
1259,Overcast
1260,Overcast
1261,Mostly Cloudy
1262,Mostly Cloudy
1263,Mostly Cloudy
1264,Mostly Cloudy
1265,Mostly Cloudy
1266,Overcast
1267,Mostly Cloudy
1268,Partly Cloudy
1269,Partly Cloudy
1270,Mostly Cloudy
1271,Mostly Cloudy
1272,Overcast
1273,Mostly Cloudy
1274,Mostly Cloudy
1275,Overcast
1276,Overcast
1277,Overcast
1278,Overcast
1279,Overcast
1280,Overcast
1281,Overcast
1282,Overcast
1283,Overcast
1284,Overcast
1285,Overcast
1286,Overcast
1287,Overcast
1288,Overcast
1289,Overcast
1290,Mostly Cloudy
1291,Mostly Cloudy
1292,Mostly Cloudy
1293,Mostly Cloudy
1294,Clear
1295,Mostly Cloudy
1296,Mostly Cloudy
1297,Mostly Cloudy
1298,Partly Cloudy
1299,Partly Cloudy
1300,Clear
1301,Partly Cloudy
1302,Mostly Cloudy
1303,Mostly Cloudy
1304,Clear
1305,Overcast
1306,Breezy and Overcast
1307,Overcast
1308,Overcast
1309,Overcast
1310,Mostly Cloudy
1311,Breezy and Overcast
1312,Breezy and Mostly Cloudy
1313,Mostly Cloudy
1314,Mostly Cloudy
1315,Mostly Cloudy
1316,Mostly Cloudy
1317,Clear
1318,Partly Cloudy
1319,Partly Cloudy
1320,Mostly Cloudy
1321,Mostly Cloudy
1322,Clear
1323,Overcast
1324,Partly Cloudy
1325,Mostly Cloudy
1326,Partly Cloudy
1327,Partly Cloudy
1328,Mostly Cloudy
1329,Mostly Cloudy
1330,Overcast
1331,Overcast
1332,Mostly Cloudy
1333,Mostly Cloudy
1334,Humid and Mostly Cloudy
1335,Mostly Cloudy
1336,Mostly Cloudy
1337,Mostly Cloudy
1338,Mostly Cloudy
1339,Partly Cloudy
1340,Mostly Cloudy
1341,Clear
1342,Mostly Cloudy
1343,Mostly Cloudy
1344,Mostly Cloudy
1345,Partly Cloudy
1346,Clear
1347,Partly Cloudy
1348,Partly Cloudy
